year,ghg_emissions
1978,310.5
1979,312.49
1980,315.63
1981,318.36
1982,320.97
1983,324.07
1984,327.07
1985,330.14
1986,333.28
1987,336.61
1988,341.02
1989,344.3
1990,346.86
1991,351.27
1992,354.38
1993,357.41
1994,361.32
1995,365.56
1996,369.73
1997,373.21
1998,378.4
1999,383.16
2000,386.76
2001,388.7
2002,391.05
2003,394.14
2004,396.3
2005,398.65
2006,401.24
2007,403.58
2008,406.5
2009,408.46
2010,411.3
2011,416.63
2012,422.22
2013,428.58
2014,434.31
2015,440.48
2016,446.24
2017,450.54
2018,455.5
2019,460.37
